"student_name","student_id","student_email","programme","year","address","contact","module_id","module_name","module_leader","lecturer1","lecturer2","faculty","building","room","exam_mark","coursework1","coursework2","coursework3"
"Michael Jennings","273644","MJ1Y24@UoNEHT.ac.uk","Fine Art","4","08832 Kim Groves Suite 335 North Mathewview, RI 43333","3976680297","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","33","7","26"
"Michael Jennings","273644","MJ1Y24@UoNEHT.ac.uk","Fine Art","4","08832 Kim Groves Suite 335 North Mathewview, RI 43333","3976680297","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","23","18","",""
"Michael Jennings","273644","MJ1Y24@UoNEHT.ac.uk","Fine Art","4","08832 Kim Groves Suite 335 North Mathewview, RI 43333","3976680297","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","29","6","",""
"Jessica Hill","295057","JH1Y24@UoNEHT.ac.uk","Fine Art","4","32282 Fry Avenue Apt. 420 Lake Jenniferport, NJ 77051","(271)604-9623x6993","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","26","10","25"
"Jessica Hill","295057","JH1Y24@UoNEHT.ac.uk","Fine Art","4","32282 Fry Avenue Apt. 420 Lake Jenniferport, NJ 77051","(271)604-9623x6993","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","37","10","",""
"Jessica Hill","295057","JH1Y24@UoNEHT.ac.uk","Fine Art","4","32282 Fry Avenue Apt. 420 Lake Jenniferport, NJ 77051","(271)604-9623x6993","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","43","12","",""
"Lauren Freeman","383614","LF1Y24@UoNEHT.ac.uk","Fine Art","4","370 Donna Knoll Acostaland, CO 10018","001-998-836-1245","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","27","1","20"
"Lauren Freeman","383614","LF1Y24@UoNEHT.ac.uk","Fine Art","4","370 Donna Knoll Acostaland, CO 10018","001-998-836-1245","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","56","11","",""
"Lauren Freeman","383614","LF1Y24@UoNEHT.ac.uk","Fine Art","4","370 Donna Knoll Acostaland, CO 10018","001-998-836-1245","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","57","0","",""
"Amber Evans","440600","AE1Y24@UoNEHT.ac.uk","Fine Art","4","241 Troy Brook Apt. 844 South Barbara, NM 96521","590-220-3822x09600","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","33","9","31"
